eventType,guests,location,decor,date,final_budget
Destination,284,Mumbai,Intermediate,2025-01-12,749712
Private,540,Pune,Premium,2025-11-16,931493
Wedding,899,Pune,Premium,2025-03-15,1392769
Private,843,Pune,Simple,2024-12-31,1197016
Private,430,Pune,Premium,2025-09-19,825369
Private,256,Delhi,Simple,2025-02-21,581124
Private,330,Delhi,Simple,2024-04-09,643096
Private,616,Mumbai,Premium,2025-04-03,1089119
Wedding,478,Pune,Premium,2026-04-03,930156
Wedding,722,Mumbai,Intermediate,2025-03-06,1205799
Private,853,Pune,Premium,2025-02-03,1303377
Corporate,768,Pune,Intermediate,2025-01-02,1200332
Private,436,Pune,Simple,2024-06-23,733706
Wedding,323,Mumbai,Intermediate,2025-01-18,776509
Destination,725,Mumbai,Intermediate,2025-08-06,1235337
Destination,928,Pune,Simple,2026-07-25,1360115
Destination,957,Delhi,Intermediate,2026-09-22,1468212
Corporate,392,Pune,Simple,2025-10-27,675684
Corporate,695,Mumbai,Intermediate,2025-04-20,1137142
Wedding,912,Pune,Premium,2026-07-27,1427244
Corporate,580,Pune,Simple,2025-03-20,886559
Private,609,Delhi,Intermediate,2025-01-11,1023067
Wedding,316,Mumbai,Simple,2024-07-12,728392
Corporate,725,Delhi,Intermediate,2024-11-24,1170050
Corporate,335,Pune,Intermediate,2024-03-02,681940
Destination,841,Pune,Intermediate,2024-09-11,1309709
Corporate,710,Delhi,Premium,2024-10-26,1203750
Private,555,Mumbai,Intermediate,2026-01-12,951683
Private,976,Mumbai,Intermediate,2026-08-03,1422987
Corporate,221,Pune,Simple,2026-12-21,508855
Wedding,884,Pune,Premium,2026-02-19,1415442
Corporate,781,Delhi,Premium,2026-06-21,1247104
Destination,223,Delhi,Simple,2025-02-22,648022
Wedding,830,Mumbai,Simple,2026-05-12,1257182
Wedding,493,Pune,Simple,2025-05-20,830632
Wedding,125,Pune,Premium,2026-03-08,513086
Private,125,Pune,Intermediate,2026-06-25,390424
Corporate,335,Mumbai,Premium,2024-11-19,784558
Private,758,Mumbai,Simple,2024-05-27,1144172
Destination,260,Delhi,Premium,2024-07-18,764214
Wedding,617,Delhi,Premium,2024-12-26,1133266
Corporate,270,Pune,Intermediate,2026-07-02,585161
Corporate,789,Pune,Intermediate,2025-10-03,1183973
Destination,282,Delhi,Simple,2024-01-21,687884
Destination,441,Delhi,Premium,2025-11-07,984429
Wedding,516,Delhi,Simple,2024-12-11,929485
Private,338,Delhi,Premium,2025-11-16,740139
Corporate,396,Mumbai,Premium,2024-09-22,872061
Corporate,825,Delhi,Simple,2025-05-24,1240483
Corporate,222,Mumbai,Intermediate,2024-01-20,625456
Private,732,Delhi,Intermediate,2024-01-15,1155583
Private,994,Delhi,Intermediate,2024-10-05,1449013
Destination,885,Mumbai,Simple,2026-04-18,1381934
Wedding,562,Mumbai,Premium,2025-11-11,1105068
Wedding,255,Delhi,Intermediate,2026-04-27,639779
Corporate,813,Mumbai,Simple,2024-11-20,1253078
Destination,383,Mumbai,Simple,2026-06-04,791979
Corporate,137,Delhi,Intermediate,2026-01-27,515624
Private,607,Pune,Simple,2024-07-17,916143
Destination,618,Mumbai,Intermediate,2026-12-08,1124029
Destination,649,Pune,Premium,2025-05-21,1163750
Private,497,Pune,Intermediate,2026-05-09,826990
Private,448,Delhi,Intermediate,2025-07-26,810024
